model,best_epoch,best_val_macro_f1,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,runtime_sec
lstm,2,0.34915773730903354,0.5172,0.40649235362914554,0.4557148077536509,0.3558209188019181,0.6915955996802006,0.5172,0.5336060450869401,0.8245716094970703
mlp,2,0.29321843516523305,0.464,0.44514607135815554,0.43015552656669587,0.2921880870968846,0.7158463651467,0.464,0.4573836359250384,1.1299316883087158
dualpath,2,0.2772479974035974,0.5421,0.4293436067203661,0.3681841958534337,0.2735485286224932,0.6229696689502346,0.5421,0.5133588476337011,1.0337984561920166
serial,2,0.25989337340864743,0.3254,0.3091152198130377,0.4131908471806973,0.2610643022539504,0.2680963124753644,0.3254,0.2307172152694271,1.0500555038452148
attn_serial,2,0.25037257821397674,0.2814,0.2250323137110693,0.34663013496728234,0.24348920799490642,0.18393750545962292,0.2814,0.20816802263397408,0.95157790184021
cnn,2,0.1820923917310482,0.2802,0.2591700675638815,0.3240457875352373,0.18488978628797914,0.5372262418505723,0.2802,0.2517081718953066,0.9593448638916016
