attack_class,method,wasserstein_pc1,wasserstein_pc1_ci_low,wasserstein_pc1_ci_high,wasserstein_mean_per_feature,validity_percent,validity_n,validity_scope,validity_model,validity_population,mahalanobis_mean,mahalanobis_covariance_mode,mahalanobis_covariance_estimator,mahalanobis_score_definition,mahalanobis_empirical_condition,mahalanobis_regularized_condition,mahalanobis_shrinkage_alpha,mahalanobis_reference_n,mahalanobis_latent_dim,mahalanobis_n,non_realism_flag,non_realism_marker,non_realism_reason,wasserstein_pc1_source,wasserstein_perfeature_source,validity_source,validity_bundle_source,mahalanobis_source,mahalanobis_diagnostics_source
Mirai,Latent-PGD,9.08177614013167,8.356142358178039,14.431196416366625,0.2758295396497747,100.0,100,class_method_bundle,mlp,latentPGD_untgt,2464.0593506623713,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,91553.22976533193,8858.476109271998,0.0006149460545431,40000,16,100,True,dagger,Collapsed-latent-dimension pathology; large distance is not healthy novelty.,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\latentPGD_untgt__mlp__Mirai.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
Mirai,Latent-CW,4.222997339574739,3.150322464390375,11.01070780757706,0.17229922154789243,100.0,100,class_method_bundle,mlp,latentCW_untgt,9.65433286631644,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,91553.22976533193,8858.476109271998,0.0006149460545431,40000,16,100,True,dagger,Collapsed-latent-dimension pathology; large distance is not healthy novelty.,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\latentCW_untgt__mlp__Mirai.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
BruteForce,PGD,2.4972096298878297,1.8308495062069765,3.930199439409194,0.4436931924010311,0.0,141,class_method_bundle,shared,PGD,26.60970269697517,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,2877.4312017124257,2145.563205230284,0.000742817077337,28766,16,141,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\PGD__shared__BruteForce.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
BruteForce,CW,2.499695402015112,1.8186181345127808,3.9336067929326775,0.21344939127467258,86.52482269503547,141,class_method_bundle,shared,CW,14.167569570300294,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,2877.4312017124257,2145.563205230284,0.000742817077337,28766,16,141,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\CW__shared__BruteForce.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
BruteForce,Latent-PGD,3.945478914416322,2.925733556193073,5.168914714016861,0.6486292607088701,100.0,100,class_method_bundle,mlp,latentPGD_untgt,66.27100129208073,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,2877.4312017124257,2145.563205230284,0.000742817077337,28766,16,100,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\latentPGD_untgt__mlp__BruteForce.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
BruteForce,Latent-CW,3.9915577923943553,2.8534275321277827,5.317558653752366,0.6836872663952287,100.0,100,class_method_bundle,mlp,latentCW_untgt,26.941062993819195,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,2877.4312017124257,2145.563205230284,0.000742817077337,28766,16,100,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\latentCW_untgt__mlp__BruteForce.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
Recon,PGD,0.424220549026126,0.3490865149771906,2.0231370497882524,0.2815222966837063,0.0,5683,class_method_bundle,shared,PGD,69.99946453245865,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,3759787.198939771,13006.304946365271,0.0003679973658752,40000,16,5683,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\PGD__shared__Recon.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
Recon,CW,0.4221831423014838,0.3382284125250916,2.04103680302202,0.07337073237275925,24.705261305648424,5683,class_method_bundle,shared,CW,17.918477943042127,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,3759787.198939771,13006.304946365271,0.0003679973658752,40000,16,5683,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\CW__shared__Recon.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
Recon,Latent-PGD,3.008632186998824,2.121892285306271,4.73890011202128,0.282285567802815,100.0,100,class_method_bundle,mlp,latentPGD_untgt,602.3661066207117,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,3759787.198939771,13006.304946365271,0.0003679973658752,40000,16,100,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\latentPGD_untgt__mlp__Recon.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
Recon,Latent-CW,3.245105686407274,2.28219786161669,4.879853736355873,0.28739477958033494,100.0,100,class_method_bundle,mlp,latentCW_untgt,8.756661740721695,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,3759787.198939771,13006.304946365271,0.0003679973658752,40000,16,100,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\latentCW_untgt__mlp__Recon.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
Web,PGD,2.8719924653451145,1.4259610634267967,10.366410951531458,0.43267875407449397,0.0,269,class_method_bundle,shared,PGD,33.70187742480413,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,1559.4792264833009,1387.3699479182053,0.0004518636974515,36659,16,269,True,double_dagger,Out-of-distribution generation; large distance is not healthy novelty.,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\PGD__shared__Web.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
Web,CW,2.7859009426121872,1.3064399583319457,10.282204943599112,0.21666541325974592,96.28252788104089,269,class_method_bundle,shared,CW,15.470523879174277,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,1559.4792264833009,1387.3699479182053,0.0004518636974515,36659,16,269,True,double_dagger,Out-of-distribution generation; large distance is not healthy novelty.,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\CW__shared__Web.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
Web,Latent-PGD,124.7366663837975,103.1966691785254,148.2585222728426,4.631913739535555,100.0,100,class_method_bundle,mlp,latentPGD_untgt,584.7097531672117,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,1559.4792264833009,1387.3699479182053,0.0004518636974515,36659,16,100,True,double_dagger,Out-of-distribution generation; large distance is not healthy novelty.,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\latentPGD_untgt__mlp__Web.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
Web,Latent-CW,148.67652443191352,123.0043352995026,174.27447262194883,5.284076378467971,100.0,100,class_method_bundle,mlp,latentCW_untgt,40.256890540337515,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,1559.4792264833009,1387.3699479182053,0.0004518636974515,36659,16,100,True,double_dagger,Out-of-distribution generation; large distance is not healthy novelty.,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\latentCW_untgt__mlp__Web.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
Spoofing,PGD,1.7611327787596072,0.6265841645396569,5.402942318429026,0.29850087413847937,0.0,4193,class_method_bundle,shared,PGD,47.19058451964063,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,275600.5834990635,25440.211973061472,0.0002385971508127,40000,16,4193,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\PGD__shared__Spoofing.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
Spoofing,CW,1.696775382354375,0.5091903574700057,5.769984472869224,0.11466472396846274,20.725017886954447,4193,class_method_bundle,shared,CW,17.087243318605328,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,275600.5834990635,25440.211973061472,0.0002385971508127,40000,16,4193,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\CW__shared__Spoofing.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
Spoofing,Latent-PGD,20.56829504756315,5.741873122119167,40.2407620766441,0.7907072160962374,100.0,100,class_method_bundle,mlp,latentPGD_untgt,192.28605768603592,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,275600.5834990635,25440.211973061472,0.0002385971508127,40000,16,100,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\latentPGD_untgt__mlp__Spoofing.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
Spoofing,Latent-CW,17.390986126164385,4.1855521887800045,34.23163920915732,0.6974164193872087,100.0,100,class_method_bundle,mlp,latentCW_untgt,11.215397914020215,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,275600.5834990635,25440.211973061472,0.0002385971508127,40000,16,100,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\latentCW_untgt__mlp__Spoofing.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
