test,feature,statistic,p_value
KS_input,AVG,0.081875,4.357046871554015e-05
Wasserstein_latent,AVG,0.048716212606486786,
Wasserstein_input,AVG,0.042437435547617496,
KS_latent,Std,0.06875,0.001035414799297867
KS_input,Std,0.1175,4.87848665561801e-10
Wasserstein_latent,Std,0.06878689369448683,
Wasserstein_input,Std,0.029453327473293024,
KS_latent,Tot size,0.070625,0.0006812195964186956
KS_input,Tot size,0.054375,0.017626846469696214
Wasserstein_latent,Tot size,0.048716212606486786,
Wasserstein_input,Tot size,0.03353422210959252,
KS_latent,IAT,0.04125,0.1313939377204403
KS_input,IAT,0.026875,0.610280509803141
Wasserstein_latent,IAT,0.37031626240881466,
Wasserstein_input,IAT,0.006166765999296336,
KS_latent,Number,0.05625,0.012645650995297885
KS_input,Number,0.206875,2.270394889145182e-30
Wasserstein_latent,Number,0.003583333908463816,
Wasserstein_input,Number,0.08573928800382645,
KS_latent,Variance,0.068125,0.001187497858271101
KS_input,Variance,0.10375,6.460500871260886e-08
Wasserstein_latent,Variance,0.35201433434130047,
Wasserstein_input,Variance,0.048956231837896665,
Spearman_latentDelta_vs_ASRValid,n/a,-0.7380952380952381,0.03655276105286081
