model,best_epoch,best_val_macro_f1,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,runtime_sec
mlp,2,0.32487049921460565,0.5464,0.3690734115924512,0.4237617699065419,0.33187653512772963,0.6027124322465862,0.5464,0.5378942292560123,1.4526493549346924
dualpath,1,0.2520371032475154,0.3758,0.27792597814056585,0.36662385900224403,0.2561578742045037,0.5110935129354955,0.3758,0.4137395261647935,1.3306052684783936
lstm,2,0.25052513079847205,0.3312,0.35317286481230387,0.3553737240424454,0.2423943166586737,0.6301939923846377,0.3312,0.3245328060278948,1.225621223449707
cnn,2,0.22581670304867502,0.272,0.30084763974633183,0.34553584368075374,0.21977394086711077,0.25823723062725373,0.272,0.1971999926898761,1.2886369228363037
serial,2,0.22484248019307038,0.308,0.23019158389521716,0.359281642186135,0.2178540164695393,0.19519065467010033,0.308,0.19071730661538427,1.30263090133667
attn_serial,2,0.15387196871752354,0.244,0.1304852805454415,0.28367858990201367,0.14772047235384647,0.12067866134744855,0.244,0.14709971636844013,1.384626865386963
