class_name,n_val,continuous_median_r2,continuous_frac_r2_ge_0p5,continuous_median_nrmse,binary_mean_accuracy,protocol_accuracy,categorical_exact_match
Benign,19999,0.9886075514067605,0.631578947368421,0.10673541396012645,0.9931029884827576,0.9992499624981249,0.9029951497574878
BruteForce,1252,0.8462209301415939,0.6,0.39099859036967977,0.9763045793397231,0.9736421725239617,0.6908945686900958
DDoS,204993,0.9953982793795694,0.6190476190476191,0.06783598322741899,0.9990637078664475,0.9996146209870581,0.9866434463615831
DoS,66876,-0.025139493531179058,0.3333333333333333,1.0124917251667687,0.9970731901828259,0.9996261738142234,0.9568604581613733
Mirai,59996,0.9156031899057188,0.7222222222222222,0.2903365543323543,0.9998666577771852,0.9990499366624441,0.9981665444362957
Recon,50353,0.9966642052314775,0.6190476190476191,0.05775633963923338,0.998392681005435,0.9996822433618653,0.9768434849959288
Spoofing,37145,0.9918386722605644,0.5238095238095238,0.09034006718746405,0.997971911876879,0.99846547314578,0.9728900255754476
Web,2380,0.9387685548518511,0.5789473684210527,0.2474498841142363,0.9840896358543415,0.9949579831932773,0.7945378151260504
OVERALL (weighted),442994,0.8293402621476955,0.5821991373358233,0.24495428720111562,0.9982902702971147,0.9993363341264215,0.97579651191664
