attack_config,clean_acc,asr_raw,validity_rate,asr_valid,total_flipped,most_violated_rule,pct_violated,mean_linf_raw,mean_l2_raw,median_features_changed
attack_binary_fgsm_0.30,0.96766,0.28131781824194446,0.0,0.0,13611,R_protocol_valid,1.0,14681.701171875,21156.16796875,38.0
attack_binary_pgd_0.30,0.96766,0.37808734472852035,0.0,0.0,18293,R_var_eq_std_sq,0.9881922046684524,14551.056640625,19531.818359375,38.0
attack_binary_cw_0,0.9679,0.13627440851327616,0.0,0.0,1319,R_nonneg_fin_flag_number,0.9810462471569371,10692.8525390625,10929.55859375,38.0
attack_binary_pgd_0.05,0.96766,0.025980199656904283,0.0015910898965791568,4.133683318520968e-05,1257,R_protocol_valid,0.933969769291965,2434.937255859375,3476.906494140625,38.0
attack_8class_pgd_0.30,0.84572,0.7461098235822731,0.0,0.0,31550,R_protocol_valid,0.9767353407290016,14212.740234375,19426.283203125,38.0
attack_34class_pgd_0.30,0.74854,0.883319528682502,0.0,0.0,33060,R_var_eq_std_sq,0.9851179673321234,14438.9443359375,19996.8984375,38.0
attack_binary_fgsm_0.05,0.96766,0.022962610834383976,0.0,0.0,1111,R_protocol_valid,0.9981998199819982,2446.949951171875,3526.027099609375,38.0
